2026-05-20 23:00:46 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 23:00:46 | INFO     | __main__:125 | API pronta.
2026-05-20 23:00:48 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 23:03:19 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 23:03:20 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 23:03:20 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 23:03:20 | INFO     | __main__:125 | API pronta.
2026-05-20 23:03:21 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 23:03:26 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-20 23:03:28 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-20 23:03:50 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 23:03:50 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 23:03:50 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 23:03:50 | INFO     | __main__:125 | API pronta.
2026-05-20 23:03:52 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 23:04:40 | INFO     | __main__:149 | Aplicação encerrada (código 0).
